url,title,description,urlToImage,date
https://bitcoinist.com/bitcoin-can-become-a-5-trillion-asset-by-2024-says-anthony-pompliano/,"Bitcoin Can Become a $5 Trillion Asset by 2024, Says Anthony Pompliano - Bitcoinist","Anthony Pompliano of Morgan Creek Digital believes Bitcoin is in a unique position to experience parabolic growth within the next five years, taking its",https://bitcoinist.com/wp-content/uploads/2019/04/shutterstock_270789245.jpg,2019-04-24
https://electrek.co/2019/04/23/tesla-new-model-s-x-range-upgrade-drivetrain-suspension/,"Tesla releases new longer range Model S and Model X with drivetrain, suspension upgrades, & more - Electrek","Tesla announced today that it is bringing to production new versions of the Model S and Model X with new drivetrains, upgraded suspension, and more.",https://electrek.co/wp-content/uploads/sites/3/2019/04/Model-S-hero-e1556066115259.jpg?quality=82&strip=all&w=1600,2019-04-24
https://www.businessinsider.com/tesla-electric-leafblower-elon-musk-twitter-2019-4,Elon Musk says Tesla will develop an 'electric leaf blower' - Business Insider,"""Tesla blows haha,"" CEO Elon Musk said in a follow-up tweet.",https://amp.businessinsider.com/images/5cbfa31a7456532647020532-1136-568.jpg,2019-04-24
https://www.washingtonpost.com/technology/2019/04/23/trump-meets-with-twitter-ceo-jack-dorsey-white-house/,Trump met with Twitter CEO Jack Dorsey — and complained about his follower count - The Washington Post,President Trump met privately on Tuesday with Twitter CEO Jack Dorsey. The meeting comes as the president continues to accuse tech giants of exhibiting bias against conservative users.,https://www.washingtonpost.com/resizer/wNCidDPIaJuaAUysy7agheS_8Cg=/1484x0/arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/7OW2ORTFXUI6TJUYFKHYBDE47M.jpg,2019-04-24
https://gizmodo.com/waymo-announces-its-opening-an-autonomous-car-factory-i-1834253156,Waymo Announces It's Opening an Autonomous Car Factory in Detroit - Gizmodo,It’s official: Waymo is opening an autonomous vehicle factory in Motor City.,"https://i.kinja-img.com/gawker-media/image/upload/s--NdbdWUgT--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/jqwrtwlgajl9wyutg8su.jpg",2019-04-24
https://abcnews.go.com/US/walgreens-raises-minimum-age-buy-tobacco-21/story?id=62577762,"Walgreens, Rite Aid raise minimum age to buy tobacco to 21 - ABC News",The move comes after Walgreens was criticized by the FDA earlier this year for selling tobacco products to minors.,https://s.abcnews.com/images/US/walgreens-1-gty-er-190423_hpMain_16x9_992.jpg,2019-04-24
https://finance.yahoo.com/news/age-beverage-corporation-nbev-stock-215009897.html,New Age Beverage Corporation (NBEV) Stock Sinks As Market Gains: What You Should Know - Yahoo Finance,"New Age Beverage Corporation (NBEV) closed at $5.24 in the latest trading session, marking a -0.57% move from the prior day.",https://s.yimg.com/uu/api/res/1.2/b2yvUJ4BDafIW0MOeiTClA--~B/aD02MDA7dz05MDA7c209MTthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en-us/zacks.com/e8e4b0344809eaac6d73c9fd25fd180a,2019-04-24
https://www.investors.com/news/technology/texas-instruments-earnings-q1-2019-ti-stock/,"Texas Instruments Earnings Top Target, But TI Stock Wavers On Outlook - Investor's Business Daily","Chipmaker Texas Instruments beat Wall Street's first-quarter views, but guided lower for Q2. The Texas Instruments earnings report caused TI stock to waver.",https://www.investors.com/wp-content/uploads/2019/04/Stock-TexasInstruments-chips-41-company.jpg,2019-04-24
https://www.washingtonexaminer.com/business/ex-ge-engineer-charged-with-stealing-trade-secrets-for-china,Ex-GE engineer charged with stealing trade secrets for China - Washington Examiner,A former GE engineer has been charged with stealing trade secrets about its electricity-generating turbines for the Chinese government while working at the manufacturer's troubled power division.,https://mediadc.brightspotcdn.com/dims4/default/68728ee/2147483647/strip/true/crop/2290x1202+0+0/resize/1200x630!/quality/90/?url=https%3A%2F%2Fmediadc.brightspotcdn.com%2Fba%2F90%2F760ce09b4762a437e03a0f3f1972%2Fap-18141430528337.jpg,2019-04-24
https://www.cnn.com/2019/04/23/investing/stocks-hit-record-highs/index.html,US stocks hit new record highs - CNN,"US stocks climbed past their all-time highs on Tuesday, as stocks continued to rally from their December lows.",https://cdn.cnn.com/cnnnext/dam/assets/190423153505-stocks-record-highs-super-tease.jpg,2019-04-24
