url,title,description,urlToImage
https://www.foxnews.com/entertainment/jeopardy-champ-breaks-record-surpasses-million-shortest-time-ever,"'Jeopardy!' champ breaks record, surpasses $1 million in shortest time ever - Fox News","""Jeopardy!"" champ James Holzhauer has just broken another record.",https://static.foxnews.com/foxnews.com/content/uploads/2019/04/ContentBroker_contentid-243c53192e844864882725b32bd8937d.png
https://pagesix.com/2019/04/23/britney-spears-breaks-silence-addresses-rumors-in-instagram-post/,"Britney Spears breaks silence, addresses rumors in Instagram post - Page Six","“I wanted to say hi, because things that are being said have just gotten out of control!!! Wow!!!” Spears wrote in the caption to an Instagram post.",https://nyppagesix.files.wordpress.com/2019/04/britney-spears-7.jpg?quality=90&strip=all&w=1200
https://www.cheatsheet.com/entertainment/meghan-markle-prince-harry-dont-ask-kate-middleton-prince-william-for-guidance.html/,Why Don't Meghan Markle and Prince Harry Look to Kate Middleton and Prince William for Guidance? - The Cheat Sheet,"Meghan Markle and Prince Harry love to do things their own way, but why don't they ask Kate Middleton and Prince William for guidance?",https://www.cheatsheet.com/wp-content/uploads/2016/05/cs-logo.png
https://www.polygon.com/game-of-thrones/2019/4/23/18512583/game-of-thrones-winterfell-crypt-theory-white-walkers-wights,Inside the Game of Thrones Night King and Winterfell crypt theory - Polygon,"For the Battle of Winterfell in GoT season 8 episode 3, the North is putting all of its most vulnerable citizens in the Winterfell crypts. But that might not be the best idea, and not just because they’ll be surrounded by dead Starks. Can the Night King raise…",https://cdn.vox-cdn.com/thumbor/GL1Ehk2NR4RHjhsIiX9DCdUirn0=/0x75:1920x1080/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/16185134/zombie_boy.jpg
https://www.youtube.com/watch?v=4_JsAllZG3k,How Will the Emperor Connect to Snoke in Episode 9? - Rule of Two - Collider Videos,"Welcome to Episode 37 of Rule of Two, a celebration of the Star Wars Universe, here on Collider’s Jedi Council Podcastone feed; now on the main YT channel of...",https://i.ytimg.com/vi/4_JsAllZG3k/maxresdefault.jpg
https://www.youtube.com/watch?v=15uC2jTZsYw,Watch! Sebastian Stan & Anthony Mackie Get Their Dance on at 'Avengers: Endgame' Premiere - extratv,"“Extra’s” Tanika Ray spoke with Sebastian Stan at the Hollywood premiere of “Avengers: Endgame,” where he showed off his dance moves! Sebastian was joined by...",https://i.ytimg.com/vi/15uC2jTZsYw/maxresdefault.jpg
https://prowrestling.net/site/2019/04/23/4-23-wwe-smackdown-live-results-powells-review-of-kofi-kingston-vs-shinsuke-nakamura-in-a-non-title-match-becky-lynch-and-charlotte-flair-meet-face-to-face-for-the-first-time-since-wrestlemania-3/,"4/23 WWE Smackdown Live results: Powell's review of Kofi Kingston vs. Shinsuke Nakamura in a non-title match, Becky Lynch and Charlotte Flair meet face to face for the first time since WrestleMania 35, fallout from Roman Reigns punching Vince McMahon and the Superstar Shakeup - ProWrestling.net","By Jason Powell, ProWrestling.net Editor...",https://i0.wp.com/prowrestling.net/site/wp-content/uploads/post/2016/07/newsmackdownlogo1.jpg?fit=299%2C168&ssl=1
https://www.theroot.com/he-is-my-son-lee-daniels-speaks-up-for-jussie-smolle-1834255599,‘He Is My Son’: Lee Daniels Speaks Up for Jussie Smollett - The Root,"The Empire show boss in an interview with Extra says he has nothing but compassion for Jussie Smollett, who Lee says is like a son to him.","https://i.kinja-img.com/gawker-media/image/upload/s--DSgmqTiS--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/blqcaa0unzktze0hx2fp.jpg"
https://www.indiewire.com/2019/04/george-rr-martin-wishes-more-game-of-thrones-seasons-1202127253/,George R.R. Martin Wishes ‘Game of Thrones’ Aired ‘A Few More Seasons’ Before Ending TV Run - IndieWire,"With the HBO fantasy series coming to an end, its author remains wistful about saying goodbye.",https://www.indiewire.com/wp-content/uploads/2019/04/Game-of-Thrones-E2_06.jpg
http://www.justjared.com/2019/04/23/martha-hunt-arrives-at-taylor-swifts-place-ahead-of-time-100-gala/,Martha Hunt Arrives at Taylor Swift's Place Ahead of Time 100 Gala - Just Jared,See the pics...,http://cdn01.cdn.justjared.com/wp-content/uploads/headlines/2019/04/hunt-tay100.jpg
